id,collection_code,objectid,objectname,originalname,itemtype,comment,image_link,link_bgg
13c992d6-a7a8-4465-90a7-de7f882c57c7,7DPSE,254683,Dodos Riding Dinos,Dodos Riding Dinos,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/254683/dodos-riding-dinos
463315b6-fdf6-47a0-a289-7afa194d6160,7DPSE,363278,Dodos Riding Dinos: Dodo Dash,Dodos Riding Dinos: Dodo Dash,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/363278/dodos-riding-dinos-dodo-dash
5abf30ed-2a83-438d-9dd8-320ac9f83414,7DPSE,395906,Exploding Kittens: Good Vs Evil,Exploding Kittens: Good Vs Evil,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/395906/exploding-kittens-good-vs-evil
1d3c2ef9-f6c7-481a-b656-785484872475,7DPSE,256804,Exploding Kittens: Party Pack,Exploding Kittens: Party Pack,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/256804/exploding-kittens-party-pack
c78e51d6-d859-4610-b229-fea9f93770ee,7DPSE,343282,Exploding Kittens: Recipes for Disaster,Exploding Kittens: Recipes for Disaster,standalone,,https://cf.geekdo-images.com/gbw-3lRou0Xa3hXhGmxLyw__original/img/WoPpM4Wc9MK-wgC8kNyMV-RrESg=/0x0/filters:format(jpeg)/pic6305890.jpg,https://boardgamegeek.com/boardgame/343282/exploding-kittens-recipes-for-disaster
2a234369-7df4-4dbc-b1d6-4f77595f5f4b,7DPSE,260214,Exploding Kittens: Streaking Kittens,Exploding Kittens: Streaking Kittens,expansion,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgameexpansion/260214/exploding-kittens-streaking-kittens
1fb60dcd-f4fe-4c3b-b2a3-11a2aa32d46d,7DPSE,346205,Explorers of the Woodlands,Explorers of the Woodlands,standalone,,https://cf.geekdo-images.com/LA0EJtun_-1KZsu0Yznxlg__original/img/Ne5wDW9C6-hk4tK_icKrGjNKMtE=/0x0/filters:format(png)/pic6753479.png,https://boardgamegeek.com/boardgame/346205/explorers-of-the-woodlands
b6874b01-853a-4746-b20b-4e60cbc346df,7DPSE,385761,Faraway,Faraway,standalone,,https://cf.geekdo-images.com/u1cwi9BWSKsPxSkVO0BzbA__original/img/jTY6_PRF6FrUgInfMajzobVy0S8=/0x0/filters:format(png)/pic7570101.png,https://boardgamegeek.com/boardgame/385761/faraway
62f60eef-f026-4c5a-b8b9-c55c593d1f01,7DPSE,140,La Feria de las Pulgas de Titirilquén,Pit,standalone,,https://cf.geekdo-images.com/LkEPNu7bPTS1rVRU_Ba-Dg__original/img/rLq4S5WQ8ns2Ez3n3RIwe1_ZI8Y=/0x0/filters:format(jpeg)/pic423644.jpg,https://boardgamegeek.com/boardgame/140/pit
bd66550b-0ba3-44f6-841b-fd3ba051574a,7DPSE,436892,Fierro Viejo,Fierro Viejo,standalone,,https://cf.geekdo-images.com/oKMdL5bJi6GpOYdR_kuRzw__original/img/0eNi9S73_QekmyuJDtVXQG-bM58=/0x0/filters:format(jpeg)/pic8640047.jpg,https://boardgamegeek.com/boardgame/436892/fierro-viejo
531f7fd6-e791-4410-8116-7033d1be439e,7DPSE,277659,Final Girl,Final Girl,standalone,,https://cf.geekdo-images.com/TUtzY-F7gKTIKm9y8e1AQw__original/img/vpBmnZOOyLZA4va7N6S8j9NyGPQ=/0x0/filters:format(jpeg)/pic6520382.jpg,https://boardgamegeek.com/boardgame/277659/final-girl
af81b80a-fd4d-4359-a9de-fe435e725c4f,7DPSE,307686,Final Girl: Carnage at the Carnival,Final Girl: Carnage at the Carnival,expansion,,https://cf.geekdo-images.com/iEGnWjR-7V4dcnN-c6-GJQ__original/img/YsyLqgKpADjCFw4g3_ivLIBJmtw=/0x0/filters:format(jpeg)/pic7486293.jpg,https://boardgamegeek.com/boardgameexpansion/307686/final-girl-carnage-at-the-carnival
582886d8-cf51-4433-97f5-f9543ded90ae,7DPSE,354775,Final Girl: Into the Void,Final Girl: Into the Void,expansion,,https://cf.geekdo-images.com/oqOj6KyCuDfhCWvEkuYDyQ__original/img/XAzTcYl9Cxw15kNwf_78WGxpgcw=/0x0/filters:format(jpeg)/pic8701606.jpg,https://boardgamegeek.com/boardgameexpansion/354775/final-girl-into-the-void
720989b0-35e4-4a98-b9e6-39809cc13926,7DPSE,354776,Final Girl: Panic at Station 2891,Final Girl: Panic at Station 2891,expansion,,https://cf.geekdo-images.com/-UviE4fKJrlxdOwtGoLt7A__original/img/3a8RrFHo-8lAHVcz0kzlzVzRujE=/0x0/filters:format(jpeg)/pic8701605.jpg,https://boardgamegeek.com/boardgameexpansion/354776/final-girl-panic-at-station-2891
73af74ae-37f1-4886-a548-941ec06c75c8,7DPSE,307687,Final Girl: Slaughter in the Groves,Final Girl: Slaughter in the Groves,expansion,,https://cf.geekdo-images.com/AzMtaZy1CtJFXruiWcqW0Q__original/img/BaU7Brz307BCT4qC0fXuAG86C6o=/0x0/filters:format(jpeg)/pic7486294.jpg,https://boardgamegeek.com/boardgameexpansion/307687/final-girl-slaughter-in-the-groves
5a105e15-d2d0-4ffb-b685-452e832aeab2,7DPSE,386835,Final Girl: Starter Set,Final Girl: Starter Set,standalone,,https://cf.geekdo-images.com/qODXwrYYGp4E2rBQITIKBQ__original/img/FmeJ5pOkwr4GESkTc6GhqpECTSc=/0x0/filters:format(jpeg)/pic7694620.jpg,https://boardgamegeek.com/boardgame/386835/final-girl-starter-set
a5dfc304-db4a-44e2-a0c3-b831afe560fc,7DPSE,310177,Final Girl: Terror From Above,Final Girl: Terror From Above,expansion,,https://cf.geekdo-images.com/y4G_nlgi6Fmt_QtP0Nvytw__original/img/2kQdykRXAnkTKbzezy0RxAoDRR4=/0x0/filters:format(jpeg)/pic6515574.jpg,https://boardgamegeek.com/boardgameexpansion/310177/final-girl-terror-from-above
026e4f8b-f213-4ae4-bf6c-f7e9cb88eef1,7DPSE,354824,Final Girl: Terror from the Grave,Final Girl: Terror from the Grave,expansion,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgameexpansion/354824/final-girl-terror-from-the-grave
d40f3ecc-b2f2-4930-8977-f1746a515257,7DPSE,307683,Final Girl: The Happy Trails Horror,Final Girl: The Happy Trails Horror,expansion,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgameexpansion/307683/final-girl-the-happy-trails-horror
